headline,summary,categories,locations,names,url
'Rest easy king': Tributes to George Foreman,"Former heavyweight boxing champion George Foreman has died at the age of 76. Tributes have poured in from fellow boxing legends and other celebrities, praising his boxing prowess and personality.","['Sports', 'World']","['Los Angeles', 'Las Vegas', 'Nevada']","['George Foreman', 'Mike Tyson', 'Donald Trump', 'Ali', 'Bob Arum', 'Earvin ""Magic"" Johnson', 'Don King', 'Tony Bellew', 'Freddie Roach', 'Joe Cortez', 'Michael Moorer']",https://www.thedailystar.net/sports/more-sports/news/heavyweight-boxing-great-george-foreman-dead-76-3854536
,"This article provides six self-defense techniques, recommended by seasoned karate practitioner Humaira Akhter Antara, to help individuals feel more secure and prepared for unexpected situations. The techniques include awareness of surroundings, strategic punches to vulnerable areas, lower-body strikes, finger techniques, escaping wrist holds, and using everyday objects for defense.","['Lifestyle', 'Self-Defense']",[],"['Humaira Akhter Antara', 'Sazzad Ibne Sayed']",https://www.thedailystar.net/life-living/lifehacks/news/6-essential-self-defence-moves-every-girl-needs-know-3686866
Lemons remain pricey even as Ramadan nears end four pieces of medium sized lemons sold at Tk 100 to Tk 120,"Lemon prices remain high in Bangladesh even as Ramadan ends, with four medium-sized lemons costing 100-120 Taka. The country is also facing various health challenges, including a dengue outbreak and a rise in other diseases.","['Health', 'Business', 'Bangladesh']","['Bangladesh', 'Cox’s Bazar', 'Mohakhali', 'Khulna', 'Mongolia', 'Uzbekistan', 'Dhaka', 'Sirajganj', 'Masimpur village', 'Sylhet', 'Jashore', 'Dubai', 'Chattogram']","['World Health Organisation (WHO)', 'St. Jude Children’s Research Hospital', 'Bangabandhu Sheikh Mujib Medical University', 'DNCC', 'DGHS']",https://www.thedailystar.net/health
"Scaloni pleased after win over Uruguay without Messi, Martinez","Argentina secured a 1-0 victory over Uruguay in a World Cup qualifier despite the absence of key players like Lionel Messi and Lautaro Martinez due to injuries. Coach Lionel Scaloni highlighted the team's depth, emphasizing that other players stepped up to secure the win.","['Sports', 'Football', 'World']","['Montevideo', 'Buenos Aires', 'Argentina', 'Uruguay']","['Lionel Scaloni', 'Lautaro Martinez', 'Lionel Messi', 'Paulo Dybala', 'Thiago Almada', 'Brazil', 'Argentina']",https://www.thedailystar.net/sports/football/news/liverpools-alisson-returns-early-brazil-duty-suspected-concussion-3854526
Bangladesh Tuberculosis incidence in Bangladesh: WHO’s 2025 targets remain a far cry,"Bangladesh is unlikely to meet its 2025 World Health Organization (WHO) tuberculosis targets due to slow progress in reducing the incidence rate. While the mortality rate has decreased, the incidence rate remains largely unchanged, and a significant number of cases remain undetected, hindering efforts to control the spread of the disease.","['Health', 'Bangladesh', 'World']",['Bangladesh'],"['WHO', 'World Health Organisation', 'Zubaida Nasreen', 'USAID', 'icddr,b', 'BRAC', 'Akramul Islam', 'Global Fund to Fight AIDS, Tuberculosis and Malaria', 'National Tuberculosis Control Programme (NTP)']",https://www.thedailystar.net/news/bangladesh/news/tuberculosis-incidence-bangladesh-whos-2025-targets-remain-far-cry-3855961
Tuberculosis incidence in Bangladesh: WHO’s 2025 targets remain a far cry,"The World Health Organization (WHO) reports high tuberculosis prevalence in Sylhet, Bangladesh, and urges action amid a global crisis in tuberculosis services. Simultaneously, Bangladesh grapples with other issues including a fire in the Sundarbans, financial struggles of non-banking financial institutions (NBFIs), and political tensions.","['Health', 'Politics', 'Environment', 'Business', 'World', 'Sports', 'Bangladesh', 'Opinion']","['Bangladesh', 'Sylhet', 'Sundarbans', 'Rangpur', 'Gaza', 'Rafah', 'Dortmund', 'Valencia', 'Rampura', 'Agargaon', 'Dhaka', 'Jashore', 'Keshabpur', 'Mongla', 'India', 'Italy', 'Germany', 'Portugal', 'Spain', 'France', 'Netherlands', 'Lebanon']","['WHO', 'BNP', 'NCP', 'Hasnat', 'Sarjis', 'Election Commission', 'Cristiano Ronaldo', 'Francisco Trincao', 'Roberto Martinez', 'Joshua Kimmich', 'Gianluigi Donnarumma', 'Urbaniak', 'Netanyahu', 'Awami League', 'Rupali Haque Chowdhury', 'Bangladesh Association of Publicly Listed Companies (BAPLC)', 'Donald Trump', 'Imamoglu', 'Rachin Ravindra', 'Chennai Super Kings', 'Mumbai Indians', 'Thiago Motta', 'Igor Tudor', 'Asif Mahmud', 'Han Duck-soo', 'Mehdi Hasan Hridoy', 'Idhika Paul', 'Jisshu Sengupta', 'Misha Sawdagar', 'Shahiduzzaman Selim', 'Fazlur Rahman Babu', 'Intekhab Dinar', 'Mamunur Rashid', 'Sabnam Faria', 'Barsha Tawsif', 'Bubly', 'Runa Laila', 'Sushant Singh Rajput', 'Rhea Chakraborty', 'Elon Musk', 'Starlink', 'Bangladesh Submarine Cable Company Limited (BSCCL)', 'Nvidia', 'Disney', 'Tencent', 'Tesla', 'Syed Manzur Elahi', 'Abdul Aziz', ""Lakshmipur Merchants' Association""]",https://www.thedailystar.net/
Abdur Rashid re-elected as president of Swiss-Bangladesh chamber,Abdur Rashid has been re-elected as president of the Switzerland-Bangladesh Chamber of Commerce and Industry (SBCCI). The election took place during the chamber's 13th annual general meeting at the Sheraton Dhaka in Banani. Swiss Ambassador Reto Renggli addressed the gathering and highlighted Bangladesh's economic potential.,"['Business', 'Bangladesh', 'World']","['Bangladesh', 'Dhaka', 'Banani', 'Switzerland']","['Abdur Rashid', 'Reto Renggli', 'Saiful Islam', 'Tarun Patwary', 'Saad Omar Fahim', 'Iqbal Chowdhury', 'Mohammad Abul Hasnat', 'Vidiya Amrit Khan', 'Debabrata Roy Chowdhury', 'Julian A Weber', 'Hedayet Ullah', 'Mark Heeb', 'Sontosh Chandra Nath', 'Md Kabir Anwar', 'Harun-Ur Rashid', 'Alberto Giovanetti', 'Khaled Chowdhury', 'Mohammad Mohi Uddin Bhuiyan']",https://www.thedailystar.net/business/organisation-news/news/aarong-opens-outlet-coxs-bazar-3850691
"News Roundup: Sports, Politics, and More","This news roundup covers a variety of topics, including sports such as cricket, football, and Formula 1, as well as some political and business news. Significant events include Germany's upset over Italy, Spain and France advancing in the Nations League, and several updates on cricket matches and leagues.","['Sports', 'Cricket', 'Football', 'Formula 1', 'Politics', 'Business']","['Dortmund', 'Valencia', 'India', 'Bangladesh', 'Shillong', 'Lahore', 'Pakistan', 'Nanjing', 'China', 'Italy', 'Germany', 'Spain', 'Portugal', 'Netherlands', 'Chennai', 'Mumbai', 'Bengaluru', 'Kolkata', 'Kishoreganj']","['Joshua Kimmich', 'Gianluigi Donnarumma', 'Urbaniak', 'Cristiano Ronaldo', 'Francisco Trincao', 'Roberto Martinez', 'Virat Kohli', 'Phil Salt', 'Liton Das', 'Nahid Rana', 'Rishad Hossain', 'Nigar Sultana Joty', 'Thomas Tuchel', 'Bellingham', 'Hamza', 'Oscar Piastri', 'Lando Norris', 'Eddie Jordan', 'Fardia Akter Ratri', 'Atique Anam', ""Armand 'Mondo' Duplantis"", 'Aprita Pal', 'Airin Akter Riya', 'Zakia Afroz Lima', 'Tonni Khatun', 'George Foreman', 'Muhammad Ali', 'Rachin Ravindra', 'Thiago Motta', 'Igor Tudor', 'Tapu Barman', 'Saleem Shahed']",https://www.thedailystar.net/sports
,"The Daily Star newspaper advertises its print advertisement rates. Rates are listed for various page locations and sizes, with options for color or black and white. International advertisement rates in USD are also provided.","['Business', 'Advertising']",['Dhaka'],['The Daily Star'],https://www.thedailystar.net/advertisement
Army chief tells students injured in July uprising,"The Chief of Army Staff, General Waker-Uz-Zaman, assured students injured during the July uprising that the army will always support them. He spoke at an iftar event held in their honor, highlighting continued financial and medical aid provided by the army and other contributors.","['Politics', 'Bangladesh']","['Dhaka Cantonment', 'Bangladesh']","['General Waker-Uz-Zaman', 'Directorate General of Forces Intelligence (DGFI)', 'Special Security Force (SSF)']",https://www.thedailystar.net/news/bangladesh/armed-forces/news/aircraft-makes-emergency-landing-jashore-airport-3847456
Shwapno launches safe spaces in all outlets for harassed women,"Shwapno, a leading supermarket chain in Bangladesh, has announced a new initiative to provide safe spaces for women facing harassment in any of their outlets. Staff members are trained to assist harassed women and contact law enforcement. The initiative aims to create a ripple effect, encouraging other businesses and individuals to take a stand against harassment.","['Business', 'World', 'Bangladesh', 'Health', 'Crime']",['Bangladesh'],"['Shwapno', 'Sabbir Hasan Nasir']",https://www.thedailystar.net/life-living/lifehacks/news/eid-gifting-101-thoughtful-presents-your-mom-will-cherish-3853311
"World Under threat from Trump, Canada calls snap elections for April 28","Canadian Prime Minister Mark Carney announced snap elections for April 28th, citing the need to counter US President Donald Trump's threats to annex Canada. The election is unexpectedly close, with the Liberals' chances boosted by Trump's actions, overshadowing typical domestic issues.","['Politics', 'World']","['Canada', 'Ottawa', 'Rideau Hall', 'United States', 'Labrador', 'Newfoundland', 'Toronto', 'Winnipeg']","['Mark Carney', 'Donald Trump', 'Justin Trudeau', 'Pierre Poilievre', 'King Charles III', 'Felix Mathieu']",https://www.thedailystar.net/news/world/news/under-threat-trump-canada-calls-snap-elections-april-28-3856086
,"Heightened security measures were in place outside the Communist Party of Bangladesh office due to an expatriate activist's online call to seize the building. The Dhaka Elevated Expressway project continues to face delays due to ownership disputes and environmental protests, while the Aminbazar landfill's burning garbage causes air pollution affecting nearby areas.","['Politics', 'Environment', 'Bangladesh']","['Dhaka', 'Panthakunja Park', 'Hatirjheel', 'Aminbazar', 'Mohammadpur']",['Communist Party of Bangladesh'],https://www.thedailystar.net/multimedia/homepage/todays-gallery-20250316-3849116
The responsibility of taking care of ageing parents,"The article discusses the challenges faced by children in caring for aging parents, highlighting the emotional toll and logistical difficulties involved. It explores different options, including elderly care facilities and hiring caregivers, while emphasizing the importance of a healthy parent-child relationship.","['Family', 'Bangladesh', 'Opinion']","['Bangladesh', 'Dhaka']","['Rasha Jameel', 'Zyma Thaseen', 'Ahmed Faiza']",https://www.thedailystar.net/shout/the-greatest-story/news/the-politics-the-clash-between-bangalees-and-paharis-3722996
Butter garlic naan: The new king of breads worldwide,"TasteAtlas's March 2025 rankings declare butter garlic naan the world's best bread, surpassing other global favorites. This delicious bread, a staple in South Asian cuisine, is celebrated for its unique flavor and versatility.","['Food', 'Lifestyle']","['Chapai Nawabganj', 'Italy', 'Puran Dhaka', 'Gulshan']","['TasteAtlas', 'Jannatul Bushra']",https://www.thedailystar.net/life-living/food-recipes/news/refreshing-juices-power-through-ramadan-3844151
,[],[],['Dhaka'],[],https://www.thedailystar.net/contact-us
ReVouge (Wear to Care) and Ujjwala Foundation stand by cancer patients,"A 3-day exhibition organized by ReVouge and Ujjwala Foundation from March 20-22 showcased clothing items donated by prominent media personalities to support cancer patients. All proceeds will go towards cancer treatment, and organizers hope to expand the initiative in the future.","['Health', 'Bangladesh', 'Charity']",[],"['ReVouge', 'Ujjwala Foundation', 'Samia Afrin', 'Afroza Parveen', 'Tanvin Sweety', 'Ankhi Alamgir', 'Kona', 'Piya Jannatul', 'Afsan Ara Bindu', 'Ismat Chaiti', 'Deepa Khandaker', 'The Daily Star']",https://www.thedailystar.net/business/organisation-news/press-releases/news/creative-house-hosts-chattogram-ramadan-majlis-galleria-3853231
"Chennai, Mumbai show value of spinners in IPL thriller; BCB to hold key meeting","Chennai Super Kings defeated Mumbai Indians in an IPL match, with Afghanistan's Noor Ahmad's impressive bowling performance playing a crucial role. Meanwhile, the Bangladesh Cricket Board (BCB) is set to hold a key meeting regarding the T20I captaincy.","['Sports', 'Cricket', 'Bangladesh', 'India']","['Chennai', 'Mumbai', 'India', 'Bangladesh', 'New Zealand', 'Pakistan', 'Hyderabad', 'Rajasthan', 'Bengaluru', 'Kolkata']","['Noor Ahmad', 'Liton', 'Rachin Ravindra', 'Saleem Shahed', 'Kishan', 'Travis Head', 'Sami Ul Hasan', 'Jofra Archer', 'Virat Kohli', 'Phil Salt', 'Chennai Super Kings', 'Mumbai Indians', 'Rajasthan Royals', 'Sunrisers Hyderabad', 'Royal Challengers Bengaluru', 'Kolkata Knight Riders', 'Bangladesh Cricket Board (BCB)', 'Pakistan Cricket Board']",https://www.thedailystar.net/sports/cricket
Readying for the Next Big Leap,"This Daily Star supplement series examines Bangladesh's preparedness for future challenges. Articles explore topics such as digital inequality, the impact of LDC graduation, women's economic empowerment, and the country's susceptibility to disasters.","['Politics', 'Business', 'Technology', 'Environment', 'World', 'Bangladesh', 'Opinion', 'Editorial']",['Bangladesh'],"['Samuel Huntington', 'Dipesh Chakrabarty', 'BBS']",https://www.thedailystar.net/anniversary-supplement-2024/readying-the-next-big-leap
Readying for the Next Big Leap: Can Bangladesh take advantage of digitised supply chains?,"This article explores whether Bangladesh can leverage digitized supply chains to boost its economy. It examines the challenges and opportunities presented by global supply chain disruptions and the potential benefits of digital transformation in key Bangladeshi industries like agriculture, ready-made garments, and pharmaceuticals.","['Business', 'Technology', 'Bangladesh', 'World']","['Bangladesh', 'Chittagong', 'Dhaka', 'Melbourne', 'Australia', 'Asia/Pacific region']","['Shams Rahman', 'Dr Aswini Yadlapalli', 'Sheikh Hasina', 'McKinsey', 'PWC', 'International Data Corporation', 'Bangladesh Bureau of Statistics', 'RMIT University', 'East West University']",https://www.thedailystar.net/anniversary-supplement-2024/readying-the-next-big-leap/news/ldc-graduation-implications-bangladesh-beyond-2026-3554306
"Cricket News Roundup: IPL Thrills, BCB Meetings, and International Series Updates","This news roundup covers various cricket updates, including the Chennai Super Kings' IPL victory over Mumbai Indians, a key BCB meeting regarding the T20I captaincy, and the removal of ODIs from the Bangladesh-Pakistan series. Other news includes updates on the Pakistan Super League, the Women's ODI World Cup qualifiers, and the England Women's cricket team captaincy change.","['Sports', 'Cricket', 'Bangladesh', 'World']","['Chennai', 'Mumbai', 'India', 'Bangladesh', 'Lahore', 'Pakistan', 'Australia', 'Kolkata', 'Eden Gardens', 'Dhaka', 'Sher-e-Bangla National Cricket Stadium']","['Noor Ahmad', 'Liton Das', 'Rachin Ravindra', 'Saleem Shahed', 'Ishan Kishan', 'Travis Head', 'Sami Ul Hasan', 'Jofra Archer', 'Nigar Sultana Joty', 'Rakib', 'Heather Knight', 'Jon Lewis', 'Shakib Al Hasan', 'Gareth Batty', 'Chennai Super Kings', 'Mumbai Indians', 'Rajasthan Royals', 'Sunrisers Hyderabad', 'Bangladesh Cricket Board (BCB)', 'Pakistan Cricket Board', 'England Cricket Board (ECB)', ""West Indies Players' Association"", 'Cricket West Indies', 'Kolkata Knight Riders (KKR)', 'Royal Challengers Bengaluru (RCB)', 'Mohammedan Sporting Club', 'Dhanmondi Sports Club']",https://www.thedailystar.net/sports/cricket?page=1
Stroke recurrence and long-term mortality,"A study using Danish national health registries assessed stroke recurrence and mortality rates for ischemic stroke (IS) and intracerebral hemorrhage (ICH). Recurrence rates were substantial for both, with higher mortality after recurrent strokes. The study highlights the need for preventative measures to reduce recurrence and mortality.",['Health'],['Denmark'],[],https://www.thedailystar.net/star-health/news/hiv-risk-factor-sudden-cardiac-death-2915566
,"Marina Abramović's 1974 performance art piece, Rhythm 0, where she allowed the audience to do whatever they wanted to her for six hours, highlights how society often blames victims for not fighting back against abuse. This essay draws parallels between the performance and real-life experiences of women facing domestic violence, street harassment, and workplace harassment, arguing that silence is not permission and that vulnerability should not be an invitation for harm.","['Life & Living', 'Opinion']",['Bangladesh'],['Marina Abramović'],https://www.thedailystar.net/life-living/news/why-do-we-blame-victims-instead-holding-abusers-accountable-3851301
Samayla Mahjabin Koishy,"This is a single name provided, no further context or information is available to create a summary.",[],[],['Samayla Mahjabin Koishy'],https://www.thedailystar.net/author/samayla-mahjabin-koishy
,[],[],[],['Shams Rahman'],https://www.thedailystar.net/author/shams-rahman
"AI Advances, Tech Updates, and TikTok Sale Talks Dominate Tech News","Recent tech news includes Adobe's launch of AI agents for online marketing, the US Commerce Department banning DeepSeek, Google unveiling its Gemma 3 AI model, and ongoing discussions regarding the potential sale of TikTok. Other updates cover new developer tools from OpenAI and changes to Google Sheets and YouTube.","['Technology', 'Business', 'Politics']",['US'],"['Adobe', 'DeepSeek', 'Google', 'OpenAI', 'Donald Trump', 'TikTok', 'Facebook', 'Microsoft', 'YouTube', 'Reuters', 'US Commerce Department']",https://www.thedailystar.net/tech-startup/apps
,"News photos depict Holi celebrations at Dhaka University, the polluted Buriganga River, a holiday market in Dhaka, a rally against gender-based violence, and the return of Lesser Whistling Ducks to Jahangirnagar University.","['Environment', 'Politics', 'Bangladesh', 'World']","['Dhaka', 'Bangladesh', 'Buriganga River', 'Motijheel', 'Central Shaheed Minar', 'Jatiya Press Club', 'Shegunbagicha', 'Jahangirnagar University', 'Transport Lake']",['Bangladesh Mahila Parishad'],https://www.thedailystar.net/multimedia/homepage/todays-gallery-20250315-3848361
Tiger dies jumping off truck 'while being trafficked',"A tiger died after jumping from a moving truck during alleged trafficking in Jashore, Bangladesh. Several other environmental issues are reported, including a fire in the Sundarbans, river pollution, and air pollution in Dhaka.","['Environment', 'Bangladesh', 'Crime', 'World']","['Keshabpur upazila', 'Jashore', 'Sundarbans', 'Sutang river', 'coastal districts of Bangladesh', 'Dhaka', 'Sherpur', 'Somoschura', 'Mongla', 'Saint Martin’s Island', 'Tangail’s Ghatail upazila', 'Fatikchhari Hazarikhil Sanctuary']","['Ziaur Rahman', 'World Health Organization (WHO)', 'IQAir', 'National Heart Foundation']",https://www.thedailystar.net/environment
Dengue fatalities cross 450-mark,"The dengue death toll in Bangladesh has surpassed 450, marking only the second time in 24 years that fatalities from the mosquito-borne disease have crossed this threshold. With expected rain and thunderstorms, experts warn of a potential extension of the dengue season.","['Health', 'Bangladesh', 'World']","['Bangladesh', 'Dhaka', 'Monipur']","['Rajkumar Das', 'Saikat Kumar Das', 'Mujahidul Islam Shamim', 'DGHS', 'DSSC mayor']",https://www.thedailystar.net/tags/dengue-bangladesh
"Multiple Articles on Motherhood, Eid Gifting, and More","This collection of articles covers various topics related to motherhood, including Eid gift ideas, breastfeeding myths, overcoming mum guilt, balancing motherhood with higher education, and personal experiences. It also includes poetry and fiction pieces.","['Lifestyle', 'Family', 'Health', 'Opinion', 'Poetry', 'Fiction', 'Bangladesh']","['Port Louis', 'Mauritian', 'Palestine']",['Monoara'],https://www.thedailystar.net/tags/mother
Israel presses ground offensive in Gaza,"Israel launched a ground offensive in the Gaza Strip, encircling parts of Rafah city. The operation comes despite calls for a ceasefire and amid escalating conflicts in Lebanon and Yemen. The death toll in Gaza is reported to be over 50,000, while Israel reports over 1,200 deaths.","['World', 'Politics', 'War', 'Middle East']","['Gaza Strip', 'Rafah', 'Egypt', 'Khan Yunis', 'Gaza City', 'Tal al-Sultan', 'Beit Hanun', 'Al-Mawasi', 'Lebanon', 'Aita al-Shaab', 'Yemen', 'Jerusalem', 'occupied West Bank', 'Israel']","['Hamas', 'AFP', 'Iman al-Bardawil', 'Saed Abu al-Jidyan', 'Israel Katz', 'France', 'Britain', 'Germany', 'Kaja Kallas', 'European Union', 'Salah al-Bardawil', 'Ismail Barhoum', 'Hezbollah', 'Pope Francis', 'Netanyahu']",https://www.thedailystar.net/news/world/israels-attack-on-palestine/news/israel-presses-ground-offensive-gaza-3856076
,"This article suggests five day trip destinations near Dhaka, Bangladesh for families and friends on a budget. These locations offer various attractions including historical sites, scenic views, and delicious food, all within a reasonable travel cost of under Tk 15,000.","['Travel', 'Lifestyle', 'Bangladesh']","['Dhaka', 'Mawa', 'Bhanga', 'Buriganga River', 'Mawa Ghat', 'Padma River', 'Narayanganj', 'Sonargaon Upazila', 'Panam Nagar', 'Boro Sardar Bari', 'Munshiganj', 'Idrakpur Fort', 'Mymensingh', 'Muktagacha', 'Netrokona', 'Birishiri', 'Garo Hills', 'Shomeshwari River']","['Ibne Batuta', 'Phileas Fogg', 'John Denver']",https://www.thedailystar.net/life-living/travel/news/5-fun-day-trips-under-tk-15000-your-eid-holidays-3854801
"Various News Articles on Lifestyle, Entertainment, and Current Events in Bangladesh","This article compilation covers a range of topics including Ramadan dietary tips, Eid fashion and gadget trends, Bangladeshi cultural attractions, women entrepreneurs, day trips from Dhaka, and various entertainment news, including music releases and film updates. It also includes news on social initiatives, health directives, and political satire.","['Lifestyle', 'Entertainment', 'World', 'Bangladesh', 'Business', 'Technology', 'Health', 'Politics', 'Opinion', 'Satire', 'Sports']","['Bangladesh', 'Dhaka', 'Mawa Expressway', 'Padma Bridge', 'Mawa Ghat', 'Panam Nagar', 'Idrakpur Fort', 'Mymensingh', 'Namibia', 'Himba village', 'Madhya Pradesh', 'India', 'Central Asia', 'Khiva', 'Uzbekistan', 'Jaipur', 'Rajasthan', 'Chengdu', 'China', 'Netrakona', 'Brahmanbaria', 'Munshiganj', 'Bandarban', 'Gausia Market', 'Dhanmondi', 'Canada', 'Ottawa', 'Rohingya camp', 'Kolkata']","['Selim Al Deen', 'Jahangirnagar University', 'Metallica', 'Megan Thee Stallion', 'BTS', 'RM', 'J-Hope', 'Angie Stone', 'TasteAtlas', 'Shwapno', 'AKM Itmam', 'Vicky Zahed', 'Tanvir Hossain Probal', 'Rubayat Rehman', 'Ruslan Rehman', 'Rizvi Rizu', 'Shahjahan Shamrat', 'Shankha Dasgupta', 'Novera Rahman', 'Amitabh Reza Chowdhury', 'Zarin Mahmood', 'Mohammad Azaz', 'Anisur Rahman', 'M.N. Huda', 'Dhaka University', 'Kamruddin Ahmad', 'Satyendra Nath Bose', 'P. J. Hartog', 'H. H. Risley', 'Deepal', 'Changan Automobile', 'Revoo', 'Porsche', 'BYD', 'Avik Anwar', 'Mitsubishi', 'Tajuddin Ahmad']",https://www.thedailystar.net/feature
"News from Bangladesh: Violence Against Children, Business Appointments, and Retail Expansion","This news bulletin covers various events in Bangladesh, including UNICEF's statement on child violence, business appointments within various chambers of commerce, and retail expansion by Aarong. Other news includes partnerships facilitating mobile phone financing and promotional strategies for Asean markets.","['Politics', 'Business', 'Technology', 'World', 'Bangladesh', 'Health']","['Bangladesh', ""Cox's Bazar"", 'Dhaka', 'Banani', 'Asean']","['Rana Flowers', 'UNICEF', 'Nguyen Manh Cuong', 'Asean Dhaka Committee', 'Mahbubur Rahman', 'Nargis Murshida', 'Bangladesh China Chambers of Commerce and Industry (BCCCI)', 'commerce ministry', 'bKash', 'City Bank PLC', 'Salextra Limited', 'Abdur Rashid', 'SGS Bangladesh Limited', 'Switzerland-Bangladesh Chamber of Commerce and Industry (SBCCI)', 'Sheraton Dhaka', 'Tanvir Hossain', 'Aarong', 'Mohammad Shahjahan Chowdhury', 'Riverain Fish and Food Processing Industries Limited', 'Bangladesh Frozen Foods Exporters Association (BFFEA)', 'Shahab Uddin Khan', 'Zeeshan Group', 'Korea-Bangladesh Chamber of Commerce & Industry (KBCCI)', 'Dreamers Academy', 'Emerald International School (EISD)']",https://www.thedailystar.net/business/organisation-news
